Dialogue_ID,Topic,Text,Acts,Emotions
67,Ordinary Life,"[{""role"": ""user"", ""content"": ""Taxi !""}, {""role"": ""assistant"", ""content"": ""Where would you like to go ?""}, {""role"": ""user"", ""content"": ""Please rush me to the railway station""}, {""role"": ""assistant"", ""content"": ""Get in and close the door .""}, {""role"": ""user"", ""content"": ""Can you speed up a bit ?""}, {""role"": ""assistant"", ""content"": ""Sorry . The road is too crowded .""}, {""role"": ""user"", ""content"": ""But I have no time to lose .""}, {""role"": ""assistant"", ""content"": ""But I can't help it .""}, {""role"": ""user"", ""content"": ""Can you drop me off here ?""}, {""role"": ""assistant"", ""content"": ""Sorry . We mustn't stop here .""}]","directive, question, directive, commissive, directive, commissive, inform, inform, directive, commissive","no emotion, no emotion, no emotion, no emotion, no emotion, sadness, no emotion, no emotion, no emotion, sadness"
95,Ordinary Life,"[{""role"": ""user"", ""content"": ""Jessie , I ’ m afraid I can ’ t come back home for dinner tonight .""}, {""role"": ""assistant"", ""content"": ""Not back home for dinner again ? That ’ s the third time this week !""}, {""role"": ""user"", ""content"": ""I ’ m sorry . Our company has just opened . There are always too many things to handle . You know that .""}, {""role"": ""assistant"", ""content"": ""You don ’ t have to explain . Suit yourself .""}, {""role"": ""user"", ""content"": ""I apologize . You have my word , I ’ ll spend some time with you on the weekend . I promise .""}, {""role"": ""assistant"", ""content"": ""We ’ ll see .""}, {""role"": ""user"", ""content"": ""Thank you for understanding . I promise I ’ ll make it up to you .""}]","inform, inform, inform, inform, inform, inform, inform","no emotion, anger, sadness, no emotion, no emotion, no emotion, happiness"
97,Ordinary Life,"[{""role"": ""user"", ""content"": ""Sam , you ’ Ve got to forgive me .""}, {""role"": ""assistant"", ""content"": ""Forgive you for what ?""}, {""role"": ""user"", ""content"": ""I used your computer . And I ’ m afraid I ’ Ve erased your personal files accidentally .""}, {""role"": ""assistant"", ""content"": ""No ! Are you kidding me ?""}, {""role"": ""user"", ""content"": ""I ’ m afraid not . I apologize .""}, {""role"": ""assistant"", ""content"": ""I can ’ t believe it ! I have all my important personal documents stored in that computer . It ’ s no laughing matter .""}, {""role"": ""user"", ""content"": ""I told you I ’ m sorry . What can I do to make it up to you ?""}, {""role"": ""assistant"", ""content"": ""Well , you should be sorry ! Don ’ t ever use my computer again ! You can ’ t do anything now , it ’ s too late !""}]","directive, question, inform, question, inform, inform, question, inform","no emotion, no emotion, no emotion, surprise, sadness, anger, sadness, anger"
99,Ordinary Life,"[{""role"": ""user"", ""content"": ""Jim , could you do me a favor ?""}, {""role"": ""assistant"", ""content"": ""Sure , just ask . What can I do for you ?""}, {""role"": ""user"", ""content"": ""My car has a problem starting . Could you please take a look at it for me ?""}, {""role"": ""assistant"", ""content"": ""No sweat . It ’ s a piece of cake .""}, {""role"": ""user"", ""content"": ""Are you sure ?""}, {""role"": ""assistant"", ""content"": ""Absolutely . I ’ m a great mechanic .""}, {""role"": ""user"", ""content"": ""Thanks for helping me out . I really appreciate it .""}, {""role"": ""assistant"", ""content"": ""Anytime .""}]","directive, question, directive, commissive, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
130,Ordinary Life,"[{""role"": ""user"", ""content"": ""I am a student in Cambridge University . I read your ad , I want to know something more about your room , please ?""}, {""role"": ""assistant"", ""content"": ""It's a big bedroom with a drawing room , facing a beautiful wood .""}, {""role"": ""user"", ""content"": ""Is there a bathroom ?""}, {""role"": ""assistant"", ""content"": ""No , but there is one downstairs , which my daughter used some years ago .""}, {""role"": ""user"", ""content"": ""It sounds good . Could I go and see it myself ?""}, {""role"": ""assistant"", ""content"": ""Certainly , you're welcome anytime .""}, {""role"": ""user"", ""content"": ""See you later !""}, {""role"": ""assistant"", ""content"": ""( after a while ) Good afternoon , Mrs . Smith . I called you just now .""}, {""role"": ""user"", ""content"": ""Welcome ! Come in , please !""}, {""role"": ""assistant"", ""content"": ""Yes .""}, {""role"": ""user"", ""content"": ""This way please . Your room is upstairs ... Here it is .""}, {""role"": ""assistant"", ""content"": ""Wonderful ! A modest , comfortable room . Ah , a beautiful window , through which I can see a beautiful scene , and hear the birds singing . How nice !""}, {""role"": ""user"", ""content"": ""Yes , if you want to wash something , there is a separate lavatory room outside .""}, {""role"": ""assistant"", ""content"": ""Excellent ! I like it ! When can I move in ?""}, {""role"": ""user"", ""content"": ""Anytime you like .""}, {""role"": ""assistant"", ""content"": ""OK .""}]","directive, commissive, question, inform, directive, commissive, inform, inform, directive, commissive, directive, commissive, inform, question, inform, inform","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, happiness, no emotion, happiness, no emotion, happiness"
150,Ordinary Life,"[{""role"": ""user"", ""content"": ""Hello . Excuse me . Do you know if there's a Commercial Bank around here ?""}, {""role"": ""assistant"", ""content"": ""Yes , go straight along Beijing Road and turn right .""}, {""role"": ""user"", ""content"": ""Straight on , and turn right . Is it far ?""}, {""role"": ""assistant"", ""content"": ""No , it's just a couple of minutes .""}, {""role"": ""user"", ""content"": ""Thanks very much .""}, {""role"": ""assistant"", ""content"": ""You're welcome .""}]","question, inform, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, happiness, happiness"
167,Ordinary Life,"[{""role"": ""user"", ""content"": ""Taxi !""}, {""role"": ""assistant"", ""content"": ""Yes , sir . Where to ?""}, {""role"": ""user"", ""content"": ""Wangfujing , please !""}, {""role"": ""assistant"", ""content"": ""All right .""}, {""role"": ""user"", ""content"": ""Oh , I like the music on your radio . It's nice .""}, {""role"": ""assistant"", ""content"": ""Thank you ! I always tune to this program when driving . So what's your favorite program ?""}, {""role"": ""user"", ""content"": ""I like Winner's English very mush . You know the Beijing Olympic Games is right around the corner . We should learn English Well . It's on FM 96.6 , China Business Radio . You can get it on your radio too .""}, {""role"": ""assistant"", ""content"": ""But I don't speak English at all .""}, {""role"": ""user"", ""content"": ""That's OK . The program is especially for the beginners like us .""}, {""role"": ""assistant"", ""content"": ""Really ? When is it on ?""}, {""role"": ""user"", ""content"": ""It begins at 6:40 every morning , and it goes for 20 minutes .""}, {""role"": ""assistant"", ""content"": ""Thank you so much . I'll try and catch that .""}, {""role"": ""user"", ""content"": ""The radio has brought us lots of convenience .""}, {""role"": ""assistant"", ""content"": ""Yes , I can also learn about the traffic condition through it .""}, {""role"": ""user"", ""content"": ""With the development of the society and technology , radio is nearly everywhere .""}, {""role"": ""assistant"", ""content"": ""So we should take the advantage of it .""}]","directive, question, directive, commissive, inform, question, inform, inform, inform, question, inform, inform, inform, inform, inform, directive","no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion"
174,Ordinary Life,"[{""role"": ""user"", ""content"": ""It's so boring .""}, {""role"": ""assistant"", ""content"": ""Don't you like it ?""}, {""role"": ""user"", ""content"": ""I don't . Is there anything worth watching on the other channel ?""}, {""role"": ""assistant"", ""content"": ""I think it's a basketball match on channel 5 .""}, {""role"": ""user"", ""content"": ""Do you mind if we switch over ?""}, {""role"": ""assistant"", ""content"": ""Well , I'd rather see a movie .""}, {""role"": ""user"", ""content"": ""What's the movie ?""}, {""role"": ""assistant"", ""content"": ""' Star war ' .""}, {""role"": ""user"", ""content"": ""It must be interesting .""}, {""role"": ""assistant"", ""content"": ""Yes , you're right .""}]","inform, question, question, inform, directive, commissive, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
185,Ordinary Life,"[{""role"": ""user"", ""content"": ""Kata ! You've got a beautiful singing voice . You hit the high notes perfectly .""}, {""role"": ""assistant"", ""content"": ""Thank you for your compliment . But you are exaggerating . I think you are destined to be a singer . You have the best voice !""}, {""role"": ""user"", ""content"": ""Thank you . Maybe we can sing a song together . Would you like to sing with me ?""}, {""role"": ""assistant"", ""content"": ""Yes , I'd like to . It's my honor . Let's pick a song .""}, {""role"": ""user"", ""content"": ""How about this one ?""}, {""role"": ""assistant"", ""content"": ""Sorry , I can't sing the song .""}, {""role"": ""user"", ""content"": ""Er ... How about this one ?""}, {""role"": ""assistant"", ""content"": ""OK . But I'm not familiar . I don't know the beginning part .""}, {""role"": ""user"", ""content"": ""Never mind . You can follow me . I'll sing the first part .""}, {""role"": ""assistant"", ""content"": ""OK .""}]","inform, inform, directive, commissive, directive, commissive, directive, commissive, directive, commissive","happiness, happiness, happiness, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion"
188,Ordinary Life,"[{""role"": ""user"", ""content"": ""Excuse me , I've been waiting here for 10 minutes . Do you know how often does No . 636 run ?""}, {""role"": ""assistant"", ""content"": ""It runs every 15 minutes . You must have missed it .""}, {""role"": ""user"", ""content"": ""It seems you got here at good time . Do you have a bus schedule ?""}, {""role"": ""assistant"", ""content"": ""Yes , I do . You can buy a bus schedule in a news stand .""}, {""role"": ""user"", ""content"": ""I see , thank you . By the way , is this the right bus for the Museum ?""}, {""role"": ""assistant"", ""content"": ""Yes , it is .""}, {""role"": ""user"", ""content"": ""Do I have to change ?""}, {""role"": ""assistant"", ""content"": ""No . The Museum is the terminal of this bus .""}, {""role"": ""user"", ""content"": ""Thanks a lot .""}, {""role"": ""assistant"", ""content"": ""You are welcome .""}]","question, inform, question, directive, question, inform, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
209,Ordinary Life,"[{""role"": ""user"", ""content"": ""It's your turn now , Helen .""}, {""role"": ""assistant"", ""content"": ""OK . I'm coming .""}, {""role"": ""user"", ""content"": ""This is your song . I picked it for you .""}, {""role"": ""assistant"", ""content"": ""Thank you . You are so considerate .""}, {""role"": ""user"", ""content"": ""Push the red button on the mike to turn it on .""}, {""role"": ""assistant"", ""content"": ""OK . This key is too high for me .""}, {""role"": ""user"", ""content"": ""I think it's a piece of cake for you .""}, {""role"": ""assistant"", ""content"": ""OK . Let me have a try ...""}, {""role"": ""user"", ""content"": ""Well done ! I hope I can sing as well as you one day .""}, {""role"": ""assistant"", ""content"": ""Thank you . I'm sure you will .""}, {""role"": ""user"", ""content"": ""I hope so . Thank you for saying so .""}]","directive, commissive, inform, inform, directive, commissive, inform, inform, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness"
212,Ordinary Life,"[{""role"": ""user"", ""content"": ""Who is the next one ?""}, {""role"": ""assistant"", ""content"": ""It's Peter's turn .""}, {""role"": ""user"", ""content"": ""Give the mike to him .""}, {""role"": ""assistant"", ""content"": ""OK .""}, {""role"": ""user"", ""content"": ""Be quiet . He is singing .""}, {""role"": ""assistant"", ""content"": ""I thought he only liked to listen !""}, {""role"": ""user"", ""content"": ""So did I .""}, {""role"": ""assistant"", ""content"": ""He has a really good voice !""}, {""role"": ""user"", ""content"": ""Yes , he sings wonderfully .""}]","question, inform, directive, commissive, directive, commissive, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
247,Ordinary Life,"[{""role"": ""user"", ""content"": ""Did your eye doctor prescribe you contact lenses ?""}, {""role"": ""assistant"", ""content"": ""No , I ’ d like to know something about contact lenses .""}, {""role"": ""user"", ""content"": ""Oh , I see . We have both hard and soft contact lenses . They are very popular , but a little more expensive than ordinary glasses .""}, {""role"": ""assistant"", ""content"": ""I have found I ’ m short-sighted recently . I need to wear glasses . As a student , it ’ s better for me to wear ordinary glasses instead of contact lenses .""}, {""role"": ""user"", ""content"": ""We have many kinds of glasses here . Which frames do you like best ?""}, {""role"": ""assistant"", ""content"": ""I think the square-shaped ones will be the best for me .""}, {""role"": ""user"", ""content"": ""What about this pair ? They are the ' in ' things now in optical wear . Try them on .""}, {""role"": ""assistant"", ""content"": ""They fit me very well . I like them .""}, {""role"": ""user"", ""content"": ""Please go to receive optometry first over there .""}]","question, inform, inform, inform, question, inform, directive, commissive, directive","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
250,Ordinary Life,"[{""role"": ""user"", ""content"": ""Could you show me some scarves ?""}, {""role"": ""assistant"", ""content"": ""What kind of scarf shall I show you ? We have them in all sorts and sizes .""}, {""role"": ""user"", ""content"": ""Show me some of the latest fashion , please .""}, {""role"": ""assistant"", ""content"": ""At your service . Will this suit you ?""}, {""role"": ""user"", ""content"": ""Yes , it will ; this must be the foreign produce .""}, {""role"": ""assistant"", ""content"": ""This is Chinese made .""}, {""role"": ""user"", ""content"": ""Let me try it on . I think it really suits me . Can you give me some discount on it ?""}, {""role"": ""assistant"", ""content"": ""Yes , it ’ s already fifty yuan off the original price .""}, {""role"": ""user"", ""content"": ""But that still sounds expensive .""}, {""role"": ""assistant"", ""content"": ""Sorry , we can ’ t come down any more .""}]","directive, question, directive, question, inform, inform, directive, commissive, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, sadness, sadness"
261,Ordinary Life,"[{""role"": ""user"", ""content"": ""My goodness ! My silk dress is shrunk . How did you wash it ?""}, {""role"": ""assistant"", ""content"": ""It was washed by washing machine .""}, {""role"": ""user"", ""content"": ""It should be handwashed with cold water . It's a common sense . Don't you know it ?""}, {""role"": ""assistant"", ""content"": ""I'm so sorry . I have no idea of it . I washed silk dress the first time . I'll buy a new one for you or I'll give you money .""}, {""role"": ""user"", ""content"": ""That's all right . Please ask me if you don't know how to do something next time . You can keep the silk dress if you don't mind . I think it fits you .""}, {""role"": ""assistant"", ""content"": ""It's very nice of you . I'll try my best to do my job well .""}]","question, inform, question, inform, directive, commissive","surprise, no emotion, no emotion, sadness, no emotion, happiness"
264,Ordinary Life,"[{""role"": ""user"", ""content"": ""Good morning , Miss .""}, {""role"": ""assistant"", ""content"": ""Good morning . Could you tell me where I can find the Clothing Department ?""}, {""role"": ""user"", ""content"": ""On the left of the elevator of the 3rd floor .""}, {""role"": ""assistant"", ""content"": ""I ’ d like to buy a woolen vest for my grandpa .""}, {""role"": ""user"", ""content"": ""I ’ m sure you can find your favorite there .""}, {""role"": ""assistant"", ""content"": ""Thank you very much .""}, {""role"": ""user"", ""content"": ""It ’ s my honor .""}]","inform, directive, commissive, inform, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
271,Ordinary Life,"[{""role"": ""user"", ""content"": ""Hi . I need to have my shoes repaired .""}, {""role"": ""assistant"", ""content"": ""What ’ s the matter with them ?""}, {""role"": ""user"", ""content"": ""Look at the heels . They are slanting .""}, {""role"": ""assistant"", ""content"": ""Ah , I can do it perfectly .""}, {""role"": ""user"", ""content"": ""How much does it cost ?""}, {""role"": ""assistant"", ""content"": ""6 yuan . And I can make them as new as before .""}, {""role"": ""user"", ""content"": ""I think it ’ s too expensive . I can just give you 4 yuan . Or I ’ ll go to another B .""}, {""role"": ""assistant"", ""content"": ""All right . I ’ ll repair them for you .""}, {""role"": ""user"", ""content"": ""How long will it take ? Could you repair them while I wait ?""}, {""role"": ""assistant"", ""content"": ""Yes . They will be ready in a few minutes .""}, {""role"": ""user"", ""content"": ""Great ! I ’ ll just sit here and wait .""}]","directive, question, inform, commissive, question, inform, directive, commissive, directive, commissive, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, sadness, no emotion, no emotion, no emotion, happiness"
273,Ordinary Life,"[{""role"": ""user"", ""content"": ""What can I offer you here ?""}, {""role"": ""assistant"", ""content"": ""I came here to ask for some information .""}, {""role"": ""user"", ""content"": ""Ok . Please go ahead .""}, {""role"": ""assistant"", ""content"": ""I bought a pair of trousers last year , which I like the best . But this year they don ’ t fit me very well . They ’ re tight in the waist , baggy at the knees . Can you make some alterations ?""}, {""role"": ""user"", ""content"": ""Oh , we are skillful in doing that . You can trust us . Our shop has a history of more than 20 years .""}, {""role"": ""assistant"", ""content"": ""It seems I find the right place .""}, {""role"": ""user"", ""content"": ""Yes , absolutely ! We have a very good reputation in the neighborhood .""}, {""role"": ""assistant"", ""content"": ""When can I have my trousers if I bring it to you tomorrow ?""}, {""role"": ""user"", ""content"": ""If you like you can wait here . They will be ready in one hour and a half .""}, {""role"": ""assistant"", ""content"": ""All right . See you tomorrow .""}]","question, inform, directive, directive, commissive, inform, inform, question, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, no emotion, no emotion, happiness"
281,Ordinary Life,"[{""role"": ""user"", ""content"": ""Excuse me , I'm a little lost . Which bus do I take to get to Shi Da ?""}, {""role"": ""assistant"", ""content"": ""Let's see . From here , you have to take the 278 bus .""}, {""role"": ""user"", ""content"": ""Oh OK , where do I get off ?""}, {""role"": ""assistant"", ""content"": ""You should get off at the first Shi Da stop .""}, {""role"": ""user"", ""content"": ""Ok , thanks ...""}, {""role"": ""assistant"", ""content"": ""You're new at this , huh ?""}, {""role"": ""user"", ""content"": ""No , is it difficult ?""}, {""role"": ""assistant"", ""content"": ""No , it's quite simple . When you get on , just ask the bus driver when to pay the fare and where you want to get off .""}, {""role"": ""user"", ""content"": ""How much does it cost ?""}, {""role"": ""assistant"", ""content"": ""Only 15 NT per section . Oh look , that is your bus .""}, {""role"": ""user"", ""content"": ""Wow , I can't thank you enough .""}, {""role"": ""assistant"", ""content"": ""Don't mention it .""}]","question, inform, question, inform, inform, question, question, inform, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
290,Ordinary Life,"[{""role"": ""user"", ""content"": ""Ahahah ! What is that thing on your couch ! It just moved !""}, {""role"": ""assistant"", ""content"": ""Did you think it wasn't real ? That's my pet lizard .""}, {""role"": ""user"", ""content"": ""You have a pet lizard ? Somehow I never would have imagined that .""}, {""role"": ""assistant"", ""content"": ""His name is Grunt . Come closer and I'll properly introduce you .""}, {""role"": ""user"", ""content"": ""Does it bite or scratch ?""}, {""role"": ""assistant"", ""content"": ""No , he's perfectly harmless . And he's not afraid of strangers either . Here , hold him .""}, {""role"": ""user"", ""content"": ""Wow . He's heavy ! And his skin feels really cool .""}, {""role"": ""assistant"", ""content"": ""Stick around and you'll get to know him better . He has a very unusual personality .""}]","question, question, inform, directive, question, inform, inform, inform","surprise, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness"
