Dialogue_ID,Topic,Text,Acts,Emotions
185,Ordinary Life,"Kata ! You've got a beautiful singing voice . You hit the high notes perfectly . __eou__ Thank you for your compliment . But you are exaggerating . I think you are destined to be a singer . You have the best voice ! __eou__ Thank you . Maybe we can sing a song together . Would you like to sing with me ? __eou__ Yes , I'd like to . It's my honor . Let's pick a song . __eou__ How about this one ? __eou__ Sorry , I can't sing the song . __eou__ Er ... How about this one ? __eou__ OK . But I'm not familiar . I don't know the beginning part . __eou__ Never mind . You can follow me . I'll sing the first part . __eou__ OK . __eou__","inform, inform, directive, commissive, directive, commissive, directive, commissive, directive, commissive","happiness, happiness, happiness, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion"
188,Ordinary Life,"Excuse me , I've been waiting here for 10 minutes . Do you know how often does No . 636 run ? __eou__ It runs every 15 minutes . You must have missed it . __eou__ It seems you got here at good time . Do you have a bus schedule ? __eou__ Yes , I do . You can buy a bus schedule in a news stand . __eou__ I see , thank you . By the way , is this the right bus for the Museum ? __eou__ Yes , it is . __eou__ Do I have to change ? __eou__ No . The Museum is the terminal of this bus . __eou__ Thanks a lot . __eou__ You are welcome . __eou__","question, inform, question, directive, question, inform, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
209,Ordinary Life,"It's your turn now , Helen . __eou__ OK . I'm coming . __eou__ This is your song . I picked it for you . __eou__ Thank you . You are so considerate . __eou__ Push the red button on the mike to turn it on . __eou__ OK . This key is too high for me . __eou__ I think it's a piece of cake for you . __eou__ OK . Let me have a try ... __eou__ Well done ! I hope I can sing as well as you one day . __eou__ Thank you . I'm sure you will . __eou__ I hope so . Thank you for saying so . __eou__","directive, commissive, inform, inform, directive, commissive, inform, inform, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness"
212,Ordinary Life,"Who is the next one ? __eou__ It's Peter's turn . __eou__ Give the mike to him . __eou__ OK . __eou__ Be quiet . He is singing . __eou__ I thought he only liked to listen ! __eou__ So did I . __eou__ He has a really good voice ! __eou__ Yes , he sings wonderfully . __eou__","question, inform, directive, commissive, directive, commissive, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
247,Ordinary Life,"Did your eye doctor prescribe you contact lenses ? __eou__ No , I ’ d like to know something about contact lenses . __eou__ Oh , I see . We have both hard and soft contact lenses . They are very popular , but a little more expensive than ordinary glasses . __eou__ I have found I ’ m short-sighted recently . I need to wear glasses . As a student , it ’ s better for me to wear ordinary glasses instead of contact lenses . __eou__ We have many kinds of glasses here . Which frames do you like best ? __eou__ I think the square-shaped ones will be the best for me . __eou__ What about this pair ? They are the ' in ' things now in optical wear . Try them on . __eou__ They fit me very well . I like them . __eou__ Please go to receive optometry first over there . __eou__","question, inform, inform, inform, question, inform, directive, commissive, directive","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
250,Ordinary Life,"Could you show me some scarves ? __eou__ What kind of scarf shall I show you ? We have them in all sorts and sizes . __eou__ Show me some of the latest fashion , please . __eou__ At your service . Will this suit you ? __eou__ Yes , it will ; this must be the foreign produce . __eou__ This is Chinese made . __eou__ Let me try it on . I think it really suits me . Can you give me some discount on it ? __eou__ Yes , it ’ s already fifty yuan off the original price . __eou__ But that still sounds expensive . __eou__ Sorry , we can ’ t come down any more . __eou__","directive, question, directive, question, inform, inform, directive, commissive, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, sadness, sadness"
261,Ordinary Life,My goodness ! My silk dress is shrunk . How did you wash it ? __eou__ It was washed by washing machine . __eou__ It should be handwashed with cold water . It's a common sense . Don't you know it ? __eou__ I'm so sorry . I have no idea of it . I washed silk dress the first time . I'll buy a new one for you or I'll give you money . __eou__ That's all right . Please ask me if you don't know how to do something next time . You can keep the silk dress if you don't mind . I think it fits you . __eou__ It's very nice of you . I'll try my best to do my job well . __eou__,"question, inform, question, inform, directive, commissive","surprise, no emotion, no emotion, sadness, no emotion, happiness"
264,Ordinary Life,"Good morning , Miss . __eou__ Good morning . Could you tell me where I can find the Clothing Department ? __eou__ On the left of the elevator of the 3rd floor . __eou__ I ’ d like to buy a woolen vest for my grandpa . __eou__ I ’ m sure you can find your favorite there . __eou__ Thank you very much . __eou__ It ’ s my honor . __eou__","inform, directive, commissive, inform, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
271,Ordinary Life,"Hi . I need to have my shoes repaired . __eou__ What ’ s the matter with them ? __eou__ Look at the heels . They are slanting . __eou__ Ah , I can do it perfectly . __eou__ How much does it cost ? __eou__ 6 yuan . And I can make them as new as before . __eou__ I think it ’ s too expensive . I can just give you 4 yuan . Or I ’ ll go to another B . __eou__ All right . I ’ ll repair them for you . __eou__ How long will it take ? Could you repair them while I wait ? __eou__ Yes . They will be ready in a few minutes . __eou__ Great ! I ’ ll just sit here and wait . __eou__","directive, question, inform, commissive, question, inform, directive, commissive, directive, commissive, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, sadness, no emotion, no emotion, no emotion, happiness"
273,Ordinary Life,"What can I offer you here ? __eou__ I came here to ask for some information . __eou__ Ok . Please go ahead . __eou__ I bought a pair of trousers last year , which I like the best . But this year they don ’ t fit me very well . They ’ re tight in the waist , baggy at the knees . Can you make some alterations ? __eou__ Oh , we are skillful in doing that . You can trust us . Our shop has a history of more than 20 years . __eou__ It seems I find the right place . __eou__ Yes , absolutely ! We have a very good reputation in the neighborhood . __eou__ When can I have my trousers if I bring it to you tomorrow ? __eou__ If you like you can wait here . They will be ready in one hour and a half . __eou__ All right . See you tomorrow . __eou__","question, inform, directive, directive, commissive, inform, inform, question, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness, no emotion, no emotion, happiness"
281,Ordinary Life,"Excuse me , I'm a little lost . Which bus do I take to get to Shi Da ? __eou__ Let's see . From here , you have to take the 278 bus . __eou__ Oh OK , where do I get off ? __eou__ You should get off at the first Shi Da stop . __eou__ Ok , thanks ... __eou__ You're new at this , huh ? __eou__ No , is it difficult ? __eou__ No , it's quite simple . When you get on , just ask the bus driver when to pay the fare and where you want to get off . __eou__ How much does it cost ? __eou__ Only 15 NT per section . Oh look , that is your bus . __eou__ Wow , I can't thank you enough . __eou__ Don't mention it . __eou__","question, inform, question, inform, inform, question, question, inform, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
290,Ordinary Life,"Ahahah ! What is that thing on your couch ! It just moved ! __eou__ Did you think it wasn't real ? That's my pet lizard . __eou__ You have a pet lizard ? Somehow I never would have imagined that . __eou__ His name is Grunt . Come closer and I'll properly introduce you . __eou__ Does it bite or scratch ? __eou__ No , he's perfectly harmless . And he's not afraid of strangers either . Here , hold him . __eou__ Wow . He's heavy ! And his skin feels really cool . __eou__ Stick around and you'll get to know him better . He has a very unusual personality . __eou__","question, question, inform, directive, question, inform, inform, inform","surprise, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness"
292,Ordinary Life,"We can't go that way , the road is blocked for the next few days . __eou__ Oh , that's right . They're filming a movie up there , aren't they ? __eou__ Some high speed chase scene , I think . __eou__ I wonder how all the businesses in the area feel about that . __eou__ I think that they get a pretty good payoff . __eou__ The movie company has to pay them ? __eou__ I don't know about all of that , but think about it , their business gets free publicity ! __eou__ Oh , yeah , they get to be in a movie for the whole world to see ! __eou__","directive, question, inform, inform, inform, question, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
294,Ordinary Life,"Welcome . May I help you ? __eou__ Use , I want a eye-shadow . __eou__ We have different colours of eye-shadow . May I know what colour you usually wear ? __eou__ Purple . But today , I'm thinking of buying one in a bright colour . __eou__ Yes , I see . How do you like this one ? __eou__ May I have a try ? __eou__ Certainly . __eou__ It's still too dark . Any brighter colours ? __eou__ Not from this brand , I'm afraid . __eou__ What about other brands ? __eou__ How about this one ? __eou__ Oh , that's the very thing I need . __eou__","question, inform, question, inform, question, directive, commissive, question, inform, question, directive, commissive","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, sadness, no emotion, no emotion, happiness"
308,Ordinary Life,"You have a lovely house , Jack . __eou__ Thank you . But a number of things have been going wrong lately . __eou__ That's too bad . What problems are you having . __eou__ Oh , the whole house needs re-painting for starters . The carpet in the living room is worn out , and I'd like to put in new wall-to-wall carpeting . Last week , I had to call the plumber to fix the toilet . Anyway , all par for the course when you own a house , I guess . I think I am going to hire an interior decorator to look the place over . __eou__ I've studied home decoration as a hobby . Could I make some suggestions ? __eou__ Go right ahead . __eou__ Well , I think a crystal chandelier would look great in your living room , and maybe some new drapes for the windows . Also , a grandfather clock would look great in the den . Perhaps you could buy some potted plants for the dining room __eou__ Wow , you really do have a talent for this , Alice . Thanks for the suggestions . __eou__ You are welcome , Jack . Glad to be of help . __eou__","inform, inform, question, inform, directive, commissive, directive, inform, inform","no emotion, sadness, sadness, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
311,Ordinary Life,"Mom , are those tattoos on your brows ? __eou__ Uh , yes , they are . __eou__ Moooooommmmm ! You're so in ! Anything else you've been keeping from me ? __eou__ What ? __eou__ Any body piercing ? Stick out your tongue ! __eou__ Oh , for Pete's sake . This is cosmetic . My brows are falling out . I did this for convenience . __eou__ Come on mom . I'm your A ! Wait till the guys hear about this ! __eou__ Mike , don't even think about it ! __eou__","question, inform, question, question, question, inform, directive, commissive","no emotion, no emotion, no emotion, no emotion, disgust, no emotion, anger, no emotion"
313,Ordinary Life,"I only want a little off the top and the sides and back to have clean lines . __eou__ Okay . Is your hair naturally curly or is it a perm ? __eou__ It's natural . My friend told me you know how to work with curls . __eou__ That's my specialty . Let me put this around your neck . __eou__ Do you have any product that controls frizz ? __eou__ With the cut I'll give you , we will minimize a lot of that . __eou__ Thank you ! __eou__ And when we're done , I'll show you some great stuff to take care of the rest . __eou__","inform, question, inform, inform, question, inform, inform, directive","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
316,Ordinary Life,"Good morning , sir . Can I help you ? __eou__ Good morning . I'm interested in antiques . Do you have any ? __eou__ Yes , we have a great variety of Chinese antiques . __eou__ What do you have ? __eou__ Well , we have some painting and some porcelain . Which do you like better ? __eou__ I'd like porcelain . __eou__ Good . How about the table set ? __eou__ Oh , it looks well . I like it very much . __eou__ It's made in Jingdezhen . __eou__ How much is it ? __eou__ One thousand eight hundred yuan . __eou__ It's not expensive . I'll take it . __eou__","question, question, inform, question, question, inform, directive, commissive, inform, question, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, happiness"
318,Ordinary Life,"I would like to buy some local handcrafts as gifts to my friends and relatives . __eou__ There are many stores selling handcrafts in Paris . Our store is wellknown for vase , table wear and jewelry boxes . You can take your time and choose whatever you like . __eou__ Well , the tapestry is delicate and beautiful . __eou__ You have made an excellent choice , it is our newcomer . The tapestry is on hot sell with the design and quality . The design on it is traditional Paris architecture . __eou__ How much is it ? __eou__ 100 frances . __eou__ Mmm , it is reasonable . Look at this set of table wear , it is so beautiful ! __eou__ We have a piece of table clothing to go with it . It is a brocade one with pretty stars . __eou__ This silver vase is a good ornament for the living room . __eou__ You are right . __eou__ I will take the tapestry , the set of table wear and the vase . __eou__ OK . Do you like these candles ? They are on sale now . __eou__ All right . I will take one . __eou__","inform, inform, inform, inform, question, inform, inform, inform, directive, commissive, directive, directive, commissive","no emotion, no emotion, happiness, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
320,Ordinary Life,"It is my first time coming to China . I want to buy something unique of China to my friends as gifts . __eou__ We have a great variety of Chinese antiques and porcelain . Do you like them ? __eou__ Yes , I love them , but they are fragile . It is not convenient to take them . __eou__ You are right . How about paintings and embroidered handkerchiefs ? __eou__ Sounds good . May I have a look ? __eou__ Of course . These paintings have many designs , such as animals , flowers , landscape , aquatics and so on . __eou__ They are beautiful , but I can't understand the connotation in them . Let me see the handkerchiefs . __eou__ All right . Chinese embroidery is one traditional art with elaborate design and high quality . __eou__ Oh , I like the bamboo design . What is this ? __eou__ This is a series of animals , called Chinese zodiac . __eou__ Good . So I will take three series and five bamboo ones . __eou__ OK , I will wrap them for you . __eou__","directive, commissive, inform, directive, directive, commissive, directive, commissive, question, inform, directive, commissive","no emotion, happiness, no emotion, happiness, happiness, happiness, no emotion, happiness, no emotion, no emotion, no emotion, happiness"
321,Ordinary Life,"Is there anything I can do for you ? __eou__ Would you please show me that mural ? __eou__ Certainly . Here you are . __eou__ It looks so beautiful . How much is it ? __eou__ Four hundred yuan . __eou__ That's a bit more than I wanted to pay . Can you cut the price down a bit ? __eou__ I'm sorry . Ours is a fixed price shop and I can assure you this is the best price you can get for a mural like this . __eou__ Maybe you are right . OK , I'll take it . __eou__ Well , I'll have it wrapped for you . __eou__ Thank you . Here is four hundred yuan . __eou__ Thank you . Please come again . __eou__","directive, directive, commissive, question, inform, directive, commissive, directive, commissive, inform, directive","no emotion, no emotion, happiness, happiness, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness"
323,Ordinary Life,"You are looking really healthy lately . What are you doing differently ? __eou__ Thank you for noticing ! I've been making a few lifestyle changes over the past year . __eou__ Tell me about it . I'm interested . __eou__ Well , it all started when my brother challenged me to quit smoking . __eou__ Ha ! That's right . You used to smoke . I forgot ! __eou__ When I kicked that habit , I found I had so much more energy . I started exercising . __eou__ At the gym ? __eou__ No . I like to be outside . I took up hiking and mountain biking . __eou__","question, inform, directive, commissive, inform, inform, question, inform","no emotion, happiness, happiness, no emotion, no emotion, no emotion, no emotion, no emotion"
324,Ordinary Life,"Yes ! I finally lost that last five pounds I've been working on forever ! __eou__ How did you finally do it ? __eou__ A friend suggested that I stop nibbling between meals . __eou__ Like snacking ? __eou__ You know , a little piece of chocolate here , some chips on the side , candy now and then ... __eou__ I get what you mean . __eou__ Instead , I sit down and have a good snack like a piece of fruit between meals . __eou__ I'm impressed . Good for you ! __eou__","inform, question, inform, question, inform, inform, inform, inform","happiness, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness"
327,Ordinary Life,"Why don't you sit down and relax , darling ? __eou__ I don't want to . __eou__ Well , come over and talk to me then . __eou__ Certainly not . __eou__ May I turn on the TV then ? __eou__ Turn on the TV , for what ? __eou__ So that we can sit down together and listen to some music . __eou__ Listen to the music ? And who will cook dinner , will you ? __eou__ I will , but let's go to the disco after dinner . __eou__ To a disco ? Oh , no . You know I hate it . __eou__","directive, commissive, directive, commissive, directive, question, inform, question, directive, commissive","no emotion, no emotion, no emotion, sadness, no emotion, no emotion, anger, no emotion, no emotion, no emotion"
343,Ordinary Life,"Hello , Miao Li , Where are you going ? __eou__ Hello , I am going to the store to buy some fruit . __eou__ Oh , Would you do me a favor ? __eou__ Yes ? __eou__ Please mail this letter for me on your way to the store . __eou__ Sure . Do you want it to be registered ? __eou__ Yes , I think so . There are some pictures in it . It would be a great pity if they were lost . __eou__ Yes , I will be glad to mail your letter . __eou__ Thanks . __eou__ you are welcome . __eou__","question, inform, directive, question, directive, question, inform, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
344,Ordinary Life,"Good afternoon . __eou__ Good afternoon . Can I help you ? __eou__ I've got this important letter to send to Hainan . Can I send it by registered mail ? __eou__ Certainly . __eou__ How much will I have to pay ? __eou__ Two yuan , please . __eou__ Here are the letter and the money . __eou__ Wait a moment . It seems that your letter is overweight . Let me weight it . __eou__ Is it overweight ? __eou__ I'm afraid it is . So you will have to pay two yuan extra . The total charge is four yuan . __eou__ All right . Here is the money . __eou__ Here are the stamps and your receipt . __eou__ What shall I do with the receipt ? __eou__ You can keep it until the addressee tells you that the letter has been delivered . It is the proof that you sent the letter if it fails to arrive . __eou__ Thank you . __eou__ Not at all . __eou__","inform, question, question, inform, question, inform, inform, inform, question, inform, inform, inform, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, sadness, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
